# eps=0 u'(0)=0
0.48271 0.767909
0.483242 0.767674
0.483773 0.767439
0.484305 0.767203
0.484837 0.766968
0.485368 0.766733
0.4859 0.766498
0.486431 0.766263
0.486963 0.766028
0.487494 0.765793
0.488025 0.765559
0.488557 0.765324
0.489088 0.76509
0.489619 0.764855
0.49015 0.764621
0.490681 0.764387
0.491212 0.764152
0.491743 0.763918
0.492274 0.763684
0.492805 0.76345
0.493336 0.763217
0.493867 0.762983
0.494397 0.762749
0.494928 0.762516
0.495459 0.762282
0.495989 0.762049
0.49652 0.761816
0.49705 0.761583
0.497581 0.76135
0.498111 0.761117
0.498641 0.760884
0.499172 0.760651
0.499702 0.760418
0.500232 0.760185
0.500762 0.759953
0.501292 0.75972
0.501822 0.759488
0.502352 0.759256
0.502882 0.759024
0.503412 0.758791
0.503942 0.758559
0.504472 0.758328
0.505001 0.758096
0.505531 0.757864
0.506061 0.757632
0.50659 0.757401
0.50712 0.757169
0.507649 0.756938
0.508179 0.756707
0.508708 0.756475
0.509237 0.756244
0.509767 0.756013
0.510296 0.755782
0.510825 0.755551
0.511354 0.755321
0.511883 0.75509
0.512412 0.754859
0.512941 0.754629
0.51347 0.754399
0.513999 0.754168
0.514528 0.753938
0.515057 0.753708
0.515585 0.753478
0.516114 0.753248
0.516643 0.753018
0.517171 0.752788
0.5177 0.752559
0.518228 0.752329
0.518757 0.7521
0.519285 0.75187
0.519813 0.751641
0.520342 0.751412
0.52087 0.751183
0.521398 0.750954
0.521926 0.750725
0.522454 0.750496
0.522982 0.750267
0.52351 0.750038
0.524038 0.74981
0.524566 0.749581
0.525094 0.749353
0.525622 0.749125
0.526149 0.748896
0.526677 0.748668
0.527205 0.74844
0.527732 0.748212
0.52826 0.747984
0.528787 0.747757
0.529315 0.747529
0.529842 0.747301
0.530369 0.747074
0.530897 0.746847
0.531424 0.746619
0.531951 0.746392
0.532478 0.746165
0.533005 0.745938
0.533532 0.745711
0.534059 0.745484
0.534586 0.745257
0.535113 0.745031
0.53564 0.744804
0.536167 0.744578
0.536694 0.744351
0.53722 0.744125
0.537747 0.743899
0.538273 0.743673
0.5388 0.743447
0.539327 0.743221
0.539853 0.742995
0.540379 0.742769
0.540906 0.742544
0.541432 0.742318
0.541958 0.742093
0.542484 0.741867
0.543011 0.741642
0.543537 0.741417
0.544063 0.741192
0.544589 0.740967
0.545115 0.740742
0.54564 0.740517
0.546166 0.740292
0.546692 0.740068
0.547218 0.739843
0.547744 0.739619
0.548269 0.739395
0.548795 0.73917
0.54932 0.738946
0.549846 0.738722
0.550371 0.738498
0.550897 0.738274
0.551422 0.73805
0.551947 0.737827
0.552473 0.737603
0.552998 0.73738
0.553523 0.737156
0.554048 0.736933
0.554573 0.73671
0.555098 0.736487
0.555623 0.736264
0.556148 0.736041
0.556673 0.735818
0.557198 0.735595
0.557722 0.735372
0.558247 0.73515
0.558772 0.734927
0.559296 0.734705
0.559821 0.734483
0.560345 0.734261
0.56087 0.734039
0.561394 0.733817
0.561918 0.733595
0.562443 0.733373
0.562967 0.733151
0.563491 0.73293
0.564015 0.732708
0.56454 0.732487
0.565064 0.732265
0.565588 0.732044
0.566112 0.731823
0.566635 0.731602
0.567159 0.731381
0.567683 0.73116
0.568207 0.730939
0.568731 0.730719
0.569254 0.730498
0.569778 0.730277
0.570301 0.730057
0.570825 0.729837
0.571348 0.729617
0.571872 0.729397
0.572395 0.729177
0.572918 0.728957
0.573442 0.728737
0.573965 0.728517
0.574488 0.728297
0.575011 0.728078
0.575534 0.727858
0.576057 0.727639
0.57658 0.72742
0.577103 0.727201
0.577626 0.726982
0.578149 0.726763
0.578672 0.726544
0.579194 0.726325
0.579717 0.726106
0.58024 0.725888
0.580762 0.725669
0.581285 0.725451
0.581807 0.725233
0.58233 0.725014
0.582852 0.724796
0.583374 0.724578
0.583897 0.72436
0.584419 0.724143
0.584941 0.723925
0.585463 0.723707
0.585985 0.72349
0.586507 0.723272
0.587029 0.723055
0.587551 0.722838
0.588073 0.722621
0.588595 0.722404
0.589117 0.722187
0.589638 0.72197
0.59016 0.721753
0.590682 0.721536
0.591203 0.72132
0.591725 0.721103
0.592246 0.720887
0.592768 0.720671
0.593289 0.720454
0.59381 0.720238
0.594332 0.720022
0.594853 0.719807
0.595374 0.719591
0.595895 0.719375
0.596416 0.719159
0.596937 0.718944
0.597458 0.718729
0.597979 0.718513
0.5985 0.718298
0.599021 0.718083
0.599542 0.717868
0.600063 0.717653
0.600583 0.717438
0.601104 0.717223
0.601624 0.717009
0.602145 0.716794
0.602666 0.71658
0.603186 0.716365
0.603706 0.716151
0.604227 0.715937
0.604747 0.715723
0.605267 0.715509
0.605787 0.715295
0.606308 0.715081
0.606828 0.714868
0.607348 0.714654
0.607868 0.714441
0.608388 0.714227
0.608908 0.714014
0.609428 0.713801
0.609947 0.713588
0.610467 0.713375
0.610987 0.713162
0.611506 0.712949
0.612026 0.712737
0.612546 0.712524
0.613065 0.712311
0.613585 0.712099
0.614104 0.711887
0.614623 0.711675
0.615143 0.711462
0.615662 0.71125
0.616181 0.711039
0.6167 0.710827
0.617219 0.710615
0.617739 0.710403
0.618258 0.710192
0.618777 0.709981
0.619295 0.709769
0.619814 0.709558
0.620333 0.709347
0.620852 0.709136
0.621371 0.708925
0.621889 0.708714
0.622408 0.708503
0.622927 0.708293
0.623445 0.708082
0.623964 0.707872
0.624482 0.707661
0.625 0.707451
0.625519 0.707241
0.626037 0.707031
0.626555 0.706821
0.627073 0.706611
0.627592 0.706402
0.62811 0.706192
0.628628 0.705982
0.629146 0.705773
0.629664 0.705564
0.630181 0.705354
0.630699 0.705145
0.631217 0.704936
0.631735 0.704727
0.632253 0.704518
